iter	Passed	Remaining
848	5476	20324
849	5480	20311
850	5488	20309
851	5493	20296
852	5502	20299
853	5509	20295
854	5514	20283
855	5521	20280
856	5526	20267
857	5533	20262
858	5540	20258
859	5544	20245
860	5553	20247
861	5558	20233
862	5564	20228
863	5571	20223
864	5576	20209
865	5584	20209
866	5588	20195
867	5596	20193
868	5603	20189
869	5608	20175
870	5615	20173
871	5622	20170
872	5627	20157
873	5634	20153
874	5641	20149
875	5646	20135
876	5653	20131
877	5658	20119
878	5666	20119
879	5673	20116
880	5680	20112
881	5685	20098
882	5692	20095
883	5700	20092
884	5707	20090
885	5715	20088
886	5719	20074
887	5727	20070
888	5731	20056
889	5738	20053
890	5746	20051
891	5754	20048
892	5761	20044
893	5766	20033
894	5773	20030
895	5781	20030
896	5786	20016
897	5793	20012
898	5797	19998
899	5804	19994
900	5812	19991
901	5817	19980
902	5824	19975
903	5831	19972
904	5839	19970
905	5844	19958
906	5851	19953
907	5858	19949
908	5865	19945
909	5870	19932
910	5878	19932
911	5882	19918
912	5890	19915
913	5897	19912
914	5902	19900
915	5910	19898
916	5916	19891
917	5921	19879
918	5928	19875
919	5932	19862
920	5939	19858
921	5946	19853
922	5951	19841
923	5959	19837
924	5965	19832
925	5973	19829
926	5977	19816
927	5986	19818
928	5991	19806
929	5998	19801
930	6005	19796
931	6009	19783
932	6017	19781
933	6021	19767
934	6028	19763
935	6036	19759
936	6040	19746
937	6048	19743
938	6052	19729
939	6059	19725
940	6066	19721
941	6074	19718
942	6081	19714
943	6085	19701
944	6093	19698
945	6097	19686
946	6105	19682
947	6112	19678
948	6117	19666
949	6125	19664
950	6129	19652
951	6136	19647
952	6143	19643
953	6148	19630
954	6156	19629
955	6160	19616
956	6167	19612
957	6174	19605
958	6178	19592
959	6186	19589
960	6190	19577
961	6197	19572
962	6204	19567
963	6209	19555
964	6216	19551
965	6223	19546
966	6230	19540
967	6234	19527
968	6241	19524
969	6248	19519
970	6255	19513
971	6259	19500
972	6267	19497
973	6272	19485
974	6279	19481
975	6286	19476
976	6290	19462
977	6298	19461
978	6303	19450
979	6310	19446
980	6317	19441
981	6322	19429
982	6329	19427
983	6336	19420
984	6340	19407
985	6347	19402
986	6354	19399
987	6359	19386
988	6365	19380
989	6372	19375
990	6376	19362
991	6384	19358
992	6388	19344
993	6394	19339
994	6401	19333
995	6406	19321
996	6413	19317
997	6417	19305
998	6424	19299
999	6431	19295
1000	6436	19283
1001	6444	19281
1002	6451	19278
1003	6459	19274
1004	6466	19272
1005	6471	19261
1006	6478	19256
1007	6483	19244
1008	6490	19240
1009	6499	19240
1010	6503	19227
1011	6510	19223
1012	6517	19219
1013	6525	19216
1014	6530	19205
1015	6537	19200
1016	6544	19195
1017	6548	19182
1018	6552	19169
1019	6560	19165
1020	6564	19153
1021	6571	19148
1022	6577	19142
1023	6582	19130
1024	6590	19127
