iter	F1	Logloss
480	0.7729514101	0.3493045777
481	0.7729700381	0.3492476689
482	0.7730078346	0.3492021653
483	0.7730894102	0.3491456386
484	0.7731529195	0.3490897586
485	0.7732334593	0.349034055
486	0.7733020091	0.3489786747
487	0.7733320035	0.3489018948
488	0.7733773682	0.3488282014
489	0.7735010529	0.3487384583
490	0.7734771117	0.3486871346
491	0.7736201384	0.3485871032
492	0.7736845313	0.3485007993
493	0.7737252968	0.3484176995
494	0.7738175049	0.348370785
495	0.7739029255	0.3483122006
496	0.7740441352	0.3481985594
497	0.7741395741	0.3480959706
498	0.7741538734	0.3480138408
499	0.7742568114	0.347949789
500	0.7743122112	0.3478968485
501	0.7743476093	0.3478253891
502	0.7743644009	0.3477444058
503	0.7743172123	0.3476777966
504	0.7744494612	0.3475976951
505	0.7744194292	0.3475559541
506	0.7745380423	0.3474054514
507	0.7745373371	0.3473444861
508	0.7745644889	0.3472901346
509	0.7744916104	0.3472160297
510	0.7745852375	0.3471273742
511	0.7747156872	0.3470581194
512	0.7747317576	0.3469570004
513	0.7748192871	0.3469159356
514	0.7748972424	0.3468560578
515	0.7749551306	0.3468079675
516	0.7749275756	0.3467401825
517	0.7750419605	0.3466232784
518	0.775158844	0.3465716313
519	0.7753329345	0.3464605768
520	0.7754543591	0.3463977889
521	0.775432202	0.3463408507
522	0.7753227326	0.3462733009
523	0.7755565526	0.3461467846
524	0.7756058382	0.3461100701
525	0.7754740288	0.3460615977
526	0.7755961118	0.3460077459
527	0.775681574	0.3459230294
528	0.7756976216	0.345862652
529	0.7757781212	0.3458157962
530	0.7758988363	0.3457439253
531	0.7760084632	0.345640396
532	0.7760269838	0.3456013299
533	0.7761291573	0.3455171425
534	0.7761802432	0.3454696107
535	0.7761537908	0.3453898913
536	0.7762617257	0.3452925349
537	0.7762499931	0.3452468256
538	0.7763871968	0.3451931502
539	0.7764285042	0.3451560536
540	0.776470458	0.3450875926
541	0.7765203526	0.3450447934
542	0.7765578717	0.344976685
543	0.7765843179	0.3449203935
544	0.7766921497	0.3448778001
545	0.7767110698	0.344827946
546	0.7767923379	0.3447644821
547	0.776744392	0.3446903478
548	0.7768606936	0.3446150671
549	0.7768207081	0.3445585698
550	0.7769327001	0.3445031601
551	0.7769229066	0.3444643292
552	0.7769155837	0.3444174441
553	0.7770188742	0.3443635336
554	0.7770157697	0.3443132092
555	0.7771086338	0.3442199093
556	0.7771923222	0.3441615014
557	0.7772864377	0.3440542976
558	0.7772581618	0.3439807218
559	0.7773331784	0.3439193155
560	0.7771899143	0.343849855
